大哭猫田螺,番禺区北环路洛溪食街C25-C27号（洛溪食街牌坊旁）,3.6,51
八爪鱼海鲜烧烤自助火锅城（嘉禾店）,白云区嘉禾墟东街68号丰兴商业广场三楼（即嘉禾益民医院斜对面）,3,51
大碗厨新概念餐厅（四季天地店）,海珠区赤岗北路118号四季天地2层,3.9,51
Pizza Marzano玛尚诺（广州天汇广场店）,天河区珠江新城兴民路222号天汇广场4层414号,4.3,123
御可贡茶（万象购物街店）,荔湾区芳村万象购物街c10,3.9,14
烤肉先生（时尚天河商业广场店）,天河区天河路299号时尚天河商业广场中区中五街B1层,3,56
糖小仙蛋糕烘焙·全城鲜送（潭村店）,天河区白马岗街20号22号101首层之6号,4.6,0
淼福猪肚鸡（永泰店）,白云区永泰新村学山塘街13号一楼（原桃花江湘菜馆）,3.8,56
新客家客家菜（远景路店）,白云区远景路100号,4.2,52
雪中王·哈尔滨烧烤城（燕塘店）,天河区燕塘路47号燕塘路与银燕路交汇处,3,73
百乐门喜宴（番禺荔园店）,番禺区西环路1502号荔园新天地广场3楼,3.2,62
十里香牛杂煲（龙洞店）,天河区迎龙路森林公园南侧100米处（卡宴KTV后面）,3.2,46
鳗工场,海珠区宝业路15号,3.5,112
西贡小姐·东南亚菜（北京路店）,越秀区中山五路68号五月花商业广场4层（近北京p、公园前E出口地铁站）,3,67
赛牛炙烧牛排（江南西分店）,海珠区江南大道中148号丽日广场1楼（地铁2号线江南西站D出口左转50米南村公交站后面）,3.7,58
青年火锅店（东晓南店）,海珠区南洲北路东晓胜汇里I区109铺,3.5,75
湘当韵味（南村店）,番禺区兴南大道591号（近利口福公交站）,4.1,44
荔银肠粉（宝华路店）,荔湾区宝华路140号首层（恒宝华庭对面）,5,14
廾穹概念中国菜（琶醍店）,海珠区磨碟沙大街118-58号琶醍b区麦芽仓5仓（有轨电车琶醍站旁边）,3.3,108
大口九奶茶（东区店）,黄埔区东悦四街东区时代公寓底商,4.6,7
OLD记茶餐厅（北京路店）,越秀区惠福东路513号（大佛古寺旁）,3.6,48
蜀香九龙坡重庆老火锅（岗贝路店）,白云区岗贝路32-1号（魔方公寓2楼）,4.2,116
叁町台湾涮涮锅,海珠区新港中路352号海珠丽影广场C区负2层（地铁客村站c出口）,3.4,64
广州酒家（百福广场店）,天河区体育东路112号百福广场1层,3,96
鸟剑居酒屋（新塘国贸店）,增城市新塘镇汇创国贸大厦三栋首层103铺,4.4,129
龙会酒店中餐部,天河区迎福路483号（食品药品学院，广东金融学院东30米）,3.8,37
枫叶西餐厅,番禺区石基大龙龙涌东路8号（近大龙桥）,4,76
傻二老坛子酸菜鱼（人人佳广场店）,白云区人和镇106国道鹤龙六路68号人人佳购物广场三楼,3.5,40
丰源轩粤式茶楼（同和金铂天地店）,白云区广州大道北同和大街1号金铂天地5层（同和地铁站D出口对面）,3.4,45
三顾冒菜（广新路店）,黄埔区广新路798号（文冲商业楼一楼梅兴客家菜、水陆田鸡旁边）,4.2,29
PEARL RIVER珠江精酿餐吧,海珠区磨碟沙大街118号26栋自编号之八（琶醍啤酒文化创意艺术区B区）,4.9,149
泰道东南亚餐厅（万达广场白云店）,白云区云城东路501号万达广场3层505号铺,3,97
文星素食馆（天平架地铁口店）,天河区兴华路文星连锁酒店内,4,18
Wut Put活泼 · 活海鲜烧烤（建设六店）,越秀区建设六马路1号誉海食街5楼（禄鼎记楼上，1920旁）,3.7,161
食为先酒家（广园店）,白云区广园中路203号河北大厦二楼,3,41
御品贡茶（生活区店）,黄埔区沙步市场正门东广场20号,4.1,12
胖哥八兄弟大排档,番禺区群贤路3号线大石地铁站A出口西行80米路北,4.1,42
金唐海鲜酒家（齐富路店）,白云区齐富路名汇广场5楼,3.8,49
伯爵自助餐厅,天河区黄埔大道西126号云来斯堡酒店内（近红线女艺术中心，太阳新天地购物广场）,3.9,144
三毛烧烤·三十年专注炭火烧烤,天河区中山大道西855号,4.4,69
